OTU	taxonomy	F001	F009	F010	F012	F015	F016	F023	F025	F028	F029	F033	F037	F040	F041	F042	F043	F044	F046	F047	F048	F051	F052	F053	F060	F062	F067	F069	F071	F072	F075	F076	F078	F080	F084	F085	F087	F094	F095	F096	F097	F098	F099	F100	F101	F102	F103	F104	F105	F106	F107	F108	F109	F110	F111	F112	F113	F122	F124	F127	F134	F135	F141	F143	F145	unknown
9e786b1cbaa09a1fcc973e0ca29eebaa	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004080839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a03e773ae24580976e9d864c7af8dc24	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0	0.00109311	0	0	0	0.001870033	0.001283064	0	0	0	0.001046481	0	0	0.004057045	0	0	0	0	0	0.001588964	0	0.001621763	0.003184308	0.001686173	0	0	0.001272819	0	0	0.00144589	0	0	0.001555613	0.000965352	0	0.001082251	0	0	0	0	0	0	0	0	0	0	0.003199921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000790889	0
a7fb73795a62eb27e56a6fc538cbce3a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.00310365	0	0	0	0	0	0.003820947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003776166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77e1167bf8c3e186e2cb099a921b5b3e	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.000897911	0	0	0.000960102	0.000564234	0	0.002128123	0	0	0.001104619	0	0	0	0	0	0	0	0	0	0	0.001307873	0.000866132	0.001537393	0	0.000886596	0.001641266	0	0	0.002446891	0	0.001194965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002067641	0	0	0	0.002212848	0.00240483	0	0	0	0	0	0	0	0.003173596	0	0	0	0	0
699b385ef816ac7c1b988be2ee8f6d10	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.002670887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bebd8483a2fd2e0ab2d71db69c11b93d	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Nostocales; D_4__Microcystaceae; D_5__Synechocystis CCALA 700; Ambiguous_taxa	0	0.000409916	0	0	0	0.000290177	0.000230293	0.000338565	0	0	0.00026162	0.000220669	0	0.002520285	0.00013645	0.000428531	0.000831453	0	0.000433678	0	0	0.000470834	0.000101898	0	0	0	0.001172333	0	0	0	0.000517682	0.000132774	0.00116671	0.000188873	0	0.001046176	0	0.000300427	0	0	0	0	0	0.000191545	0	0	0	0	0	0.000350189	0	0	0	0	0	0	0	0	0.000243784	0	0	0	0.000142714	0.000474533	0
0faee93453ec8e3ef4745dd73ca8fed4	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Nostocales; D_4__Phormidiaceae; D_5__Trichodesmium IMS101; Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000180564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002455352	0	0.000974026	0	0	0.002272804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95ce069bc66e963da77c302f5e758ac5	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Nostocales; D_4__Phormidiaceae; D_5__Trichodesmium IMS101; Ambiguous_taxa	0	0.000331837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001458387	0	0	0	0	0	0.002306727	0.000615764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e4d8cf734e48159555ddca238ff9233a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa	0	0	0	0	0	0.000918895	0.000625082	0	0	0	0	0	0	0	0	0	0	0.002303211	0	0	0	0.000784724	0	0.00119024	0	0.000805997	0.001373304	0	0	0	0	0	0	0	0	0.001046176	0	0	0.000746294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c28a1db474603a1b2606fdc5bd5015f3	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.000722233	0	0	0	0.00066096	0	0	0	0	0.001279033	0	0	0	0	0.001571279	0.001662905	0	0.001796667	0	0	0	0.000993504	0.000991867	0	0.001047796	0.000971362	0	0	0.001075149	0.001100074	0.001194965	0	0	0	0.001082251	0	0	0.000746294	0	0	0	0	0	0	0	0	0	0	0.000875473	0.000691515	0	0	0	0	0	0	0	0.002194052	0.001586798	0	0	0	0	0
