OTU	F001	F009	F012	F015	F016	F023	F025	F028	F029	F033	F037	F040	F041	F042	F043	F044	F046	F047	F048	F052	F053	F060	F062	F067	F069	F075	F076	F078	F080	F084	F085	F087	F095	F096	F097	F099	F101	F102	F103	F104	F107	F108	F109	F127	F134	F143	F145
163d5f2161df3314c96e93c5dbb4b613	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09878e3d29399e26823abda998067286	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3e3f5caf34e91eb161f937b386c1cc9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d40146600b9f85dee1ba32c388277f00	0	4	0	0	7	0	7	0	0	0	0	0	0	7	0	0	0	0	8	0	7	7	0	30	0	15	15	0	7	0	0	0	0	0	0	0	0	0	0	0	10	7	15	0	0	15	0
e43549162d95b263e00ce52bbf57359e	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f78e14b346a9535c732e55b3579e18c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69f200867598d2a84a368ccc2a32c290	0	99	0	45	115	69	120	0	102	135	42	0	76	88	45	54	43	46	98	62	117	72	7	282	112	173	173	308	104	145	0	71	80	68	13	0	27	0	0	65	245	54	147	34	83	215	113
dba498c87c5c704ad19a95e41cbaac18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
cc1295ca13653aeeb052a57eac9f0bf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0
a6a0d6dee3a1d22fc206c016abc970cf	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60616b1de2af596e086eedf2ff1676a3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e8c8a1127a738711b348db818c721bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c4102ac67247e7b06bb5f955a6b6ab48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
f470bbf2f730cfa3403fd4622a994501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3441b17a0225ade1cf15e7da0f1cdf18	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a61c7b5b3743e14adec680b9fab0c29b	0	0	0	0	0	12	12	0	0	0	13	0	0	33	0	0	0	45	28	0	13	0	0	43	67	40	0	15	0	0	0	0	23	0	0	0	0	0	0	0	23	8	0	0	0	0	29
9322e2a316dc758f6141b297c4f2aab1	0	0	0	0	18	0	17	0	23	11	0	0	0	0	0	0	0	0	10	0	0	0	0	23	22	27	21	18	18	11	0	0	0	16	13	0	19	0	0	46	17	0	0	0	0	0	0
02598367c3084826db395f6a326aa50f	0	11	0	10	3	25	15	0	0	0	0	0	6	10	12	13	28	0	26	18	23	23	0	22	39	16	20	26	7	17	0	17	0	36	33	0	15	0	0	10	35	27	32	0	28	19	15
87e3ca5324599f16bd2bb9a31f524f3b	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c7251059988c77057b502ce0090601a8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f33f89686b49ea2cba0da457c06f4a36	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee880c2e0853bb566f848dc25024ea3b	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
eb4b0e13ac244921534e60036640e0f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
804c97f3b7c19fd8f96daeb7abe14ae0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ffe068172b4cd536dd46ae3514d29599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4cee53a03555c8bc40a1655f94c616c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	29	0	0	22	0
6506157730ecf4cfd60efa655c8677a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
867fd69f1359e403cb82b29ce02ec096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
b12190bf7dd947f1260d114110be989e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7531f251f3cc3c07bede8171dddc5c4b	0	0	0	0	16	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	15	0	0	0	0	0	0
77a5af0ad557e65e8f539e629220b7f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
0a878bd0050198492ee8de37cbeae0ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
7ab8b3cc86b60bcb735af4a964b7686d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
89d9e55a1669736b51f9a4a881b34329	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c4525795407ae90015173960698f0b25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
d86c5566c40116360f1abd1aaf631828	11	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20f7de4909ed0c22f933c5e82cf56948	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1daef0db6e35f93605130402191f0804	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
